140,0.5,0.2
141.75,0.3892,0.2219
143.5,0.2827,0.2928
145.25,0.22,0.386
147,0.198,0.503
148.75,0.22,0.617
150.5,0.293,0.725
152.25,0.389,0.782
154,0.5,0.804
155.75,0.6135,0.7818
157.5,0.7105,0.7211
159.25,0.7808,0.6133
161,0.7979,0.5052
162.75,0.7757,0.3827
164.5,0.7046,0.2791
166.25,0.6087,0.2159
172,0.5071,0.7591
173.625,0.7536,0.5114
175.25,0.5024,0.2484
176.875,0.2494,0.506
178.5,0.6818,0.6805
180.125,0.6798,0.3219
181.75,0.3247,0.3229
183.375,0.3246,0.685
190,0.5003,0.2963
191.6,0.5929,0.3421
193.2,0.6287,0.4096
194.8,0.6788,0.4686
196.4,0.6799,0.5425
198,0.6299,0.6013
199.6,0.5929,0.6663
201.2,0.5067,0.7146
202.8,0.4023,0.667
204.4,0.3732,0.597
206,0.3209,0.5438
207.6,0.3216,0.4644
209.2,0.3743,0.4103
210.8,0.4132,0.3413
219,0.503,0.3652
220.8,0.5725,0.408
222.6,0.5989,0.4604
224.4,0.5994,0.5426
226.2,0.5665,0.5959
228,0.5048,0.6405
229.8,0.4397,0.5976
231.6,0.4088,0.5429
233.4,0.4071,0.4618
235,0.4361,0.4048
242,0.5022,0.4221
243.9,0.5496,0.4522
245.8,0.5672,0.4879
247.7,0.5638,0.5305
249.6,0.548,0.5556
251.5,0.5012,0.5799
253.4,0.4574,0.5563
255.3,0.4419,0.5304
257.2,0.4401,0.4893
259,0.4562,0.4547
265,0.5033,0.4624
266.3,0.542,0.4797
267.6,0.5441,0.5015
268.9,0.5288,0.5317
270.2,0.5015,0.5468
271.5,0.4748,0.532
272.8,0.4593,0.503
274,0.4618,0.4797
285,0.4781,0.4902
286.5,0.5004,0.5263
288,0.5283,0.4886
